Date,Speaker 1,Speaker 2,Session 3.1,Session 3.2,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
1/08/11,Green-Inland Dotterel,Green Brown Widow Spider,MapA-Colour,MapB-Architecture,1
1/08/11,Red Little Egret,Gold Blainville's Beaked Whale,MapA-Architecture,MapB-Colour,2
2/08/11,Green Arnhem Leaf-Nosed Bat,Gold Arnhem Leaf-nosed Bat,MapB-Architecture,MapA-Colour,3
9/08/11,Gold Grey Petrel,Red Watercock,MapB-Colour,MapA-Architecture,4
8/11/11,Blue Grassland Melomys,Gold Australian Common Whistling Spider,MapA-Colour,MapB-Architecture,5
10/11/11,Green Paradise Riflebird,Gold Wandering Albatross,MapA-Architecture,MapB-Colour,6
10/11/11,Gold Fuscous Honeyeater,Gold Terek Sandpiper,MapB-Architecture,MapA-Colour,7
11/11/11,Green Cobweb Spider,Blue Olive-backed Sunbird,MapB-Colour,MapA-Architecture,8
14/11/11,Green Brown Cuckoo Dove,Green Chiming Wedgebill,MapA-Colour,MapB-Architecture,9
15/11/11,Green Letter-Winged Kite,Blue Leadbeater's Possum,MapA-Architecture,MapB-Colour,10
15/11/11,Red Black Breasted Buzzard,Gold Crested Pigeon,MapB-Architecture,MapA-Colour,11
16/11/11,Blue Pied Heron,Gold Red-fronted Parakeet,MapB-Colour,MapA-Architecture,12
17/11/11,Red Gull-billed Tern,Blue Bolam's Mouse,MapA-Colour,MapB-Architecture,13
17/11/11,Gold Australian Magpie,Red Australasian Shoveler,MapA-Architecture,MapB-Colour,14
18/11/11,Blue Black Tern,Green Bridled Tern,MapB-Architecture,MapA-Colour,15
18/11/11,Green Great-billed Heron,Red Asian Brown Flycatcher,MapB-Colour,MapA-Architecture,16
18/11/11,Green Tawny-crowned Honeyeater,Blue Two-spined Spider,MapA-Colour,MapB-Architecture,17
21/11/11,Green Victoria's Riflebird,Green Whistling Kite,MapA-Architecture,MapB-Colour,18
21/11/11,Green Red-rumped Parrot,Green Great Crested Grebe,MapB-Architecture,MapA-Colour,19
,,,MapB-Colour,MapA-Architecture,20
,,,MapA-Colour,MapB-Architecture,21
,,,MapA-Architecture,MapB-Colour,22
,,,MapB-Architecture,MapA-Colour,23
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,MapA-Colour,MapB-Architecture,
,,,MapA-Architecture,MapB-Colour,
,,,MapB-Architecture,MapA-Colour,
,,,MapB-Colour,MapA-Architecture,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
