Date,Speaker 1,Speaker 2,Session 3.1,Session 3.2
12/07/11,black snake ,yellow tail ,MapA-Colour,MapB-Architecture
12/07/11,green wombat,red spider,MapA-Architecture,MapB-Colour
13/07/11,blue lizard,red wombat,MapB-Architecture,MapA-Colour
13/07/11,green spider,yellow wombat,MapB-Colour,MapA-Architecture
25/05/12,Red sydney huntsman spider,Red Norfolk Island Gerygone,MapA-Colour,MapB-Architecture
25/05/12,Green inland free-tailed bat,Gold red backed Kingfisher ,MapA-Architecture,MapB-Colour
26/05/12,Green giant water spider,Green grey-honeyeater,MapB-Architecture,MapA-Colour
28/05/12,Gold cuvier's beaked whale,Blue Antmimicking spider,MapB-Colour,MapA-Architecture
30/05/12,Gold buffy fish owl,Blue Green pygmy-goose,MapA-Colour,MapB-Architecture
31/05/12,Green malleefowl,Red tasman starling,MapA-Architecture,MapB-Colour
4/06/12,Red-Cuvier's Beaked Whale,Gold Little egret,MapB-Architecture,MapA-Colour
4/06/12,Gold baillon's crake,Red blackbird,MapB-Colour,MapA-Architecture
5/06/12,Red black breasted button quail,Blue black-breasted button quail,MapA-Colour,MapB-Architecture
5/06/12,Green-Julia Creek Dunnart,Red-Pied Cormorant,MapA-Architecture,MapB-Colour
6/06/12,Blue cinnamon antechinus,Green-Brown Falcon,MapB-Architecture,MapA-Colour
7/06/12,Blue Bramble Cay Melomys,Red Masked Finch,MapB-Colour,MapA-Architecture
13/06/12,Blue-Honey Possum,Blue-Inland Free-tailed Bat,MapA-Colour,MapB-Architecture
14/06/12,Red-Rufous Bettong,Blue-White-tailed Dunnart,MapA-Architecture,MapB-Colour
14/06/12,Red Sooty Dunnart,Green Black Striped Wallaby,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
