Date,Speaker 1,Speaker 2,Session 3.1,Session 3.2,,
12/07/11,black snake,yellow tail,MapA-Colour,MapB-Architecture,,
12/07/11,green wombat,red spider,MapA-Architecture,MapB-Colour,,
13/07/11,blue lizard,red wombat,MapB-Architecture,MapA-Colour,,
13/07/11,green spider,yellow wombat,MapB-Colour,MapA-Architecture,,
8/09/11,Gold- Grey Phalarope,Green- Erect-crested Penguin,MapA-Colour,MapB-Architecture,1,
9/09/11,Red- Cicadabird,Gold- Beach Stone- curlew,MapA-Architecture,MapB-Colour,2,
10/09/11,Green- Yellow Thornbill,Gold- Hoary Wattled Bat,MapB-Architecture,MapA-Colour,3,
12/09/11,Green- sperm Whale,Green- Magpie Lark,MapB-Colour,MapA-Architecture,4,
16/09/11,Blue- Little Penguin ,Blue- Crimson Finch,MapA-Colour,MapB-Architecture,5,
19/09/11,Red- Rainbow Bee-eater,Green- White footed Rabbit Rat,MapA-Architecture,MapB-Colour,6,
22/09/11,Gold- Australasian Shoveler,Gold- Splendid Fairy-wren,MapB-Architecture,MapA-Colour,7,Husband & Wife
22/09/11,Gold- Spinner Dolphin,Blue- Javan Pond Heron,MapB-Colour,MapA-Architecture,8,
22/09/11,Green- laughing Dove,Green- Brown Hawk Owl,MapA-Colour,MapB-Architecture,9,Do it again Second map
23/09/11,Blue- Great-winged Petrel,Green- swinhoe's Snipe,MapA-Architecture,MapB-Colour,10,Husband & Wife
25/09/11,Blue- White Winged Triller,Red- Polynesian storm petrel ,MapB-Architecture,MapA-Colour,11,
29/09/11,Green- chestnut rumped Thornbill,Gold- Kangaroo Island Dunnart,MapB-Colour,MapA-Architecture,12,
27/09/11,Green- cape York Rock-wallaby,blue- Double-eyed Fig-Parrot,MapA-Colour,MapB-Architecture,13,
7/10/11,Gold- common Chaffinch,Green- Black-eared Flying-fox,MapA-Architecture,MapB-Colour,14,
16/10/11,Green- White-throated Treecreeper,Red- Bolam's Mouse,MapB-Architecture,MapA-Colour,15,
16/10/11,Gold- Black striped wallaby,Green- Little Woodswallow,MapB-Colour,MapA-Architecture,16,
21/10/11,Gold- Oriental Cuckoo,Red- Triangular Spider,MapA-Colour,MapB-Architecture,17,
21/10/11,Green- Scaly-Breasted Lorikeet,Red- Inland Thornbill,MapA-Architecture,MapB-Colour,18,
3/11/11,Gold- Yellow wattlebird,Red- Baird's Sandpiper,MapB-Architecture,MapA-Colour,19,
4/11/11,Red- spangled Drongo,Green- Little Red Flying-fox,MapB-Colour,MapA-Architecture,20,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
,,,MapA-Architecture,MapB-Colour,,
,,,MapB-Architecture,MapA-Colour,,
,,,MapB-Colour,MapA-Architecture,,
,,,MapA-Colour,MapB-Architecture,,
