Date,Speaker 1,Speaker 2,Session 3.1,Session 3.2
12/07/2011,black snake ,yellow tail ,MapA-Colour,MapB-Architecture
12/07/2011,green wombat,red spider,MapA-Architecture,MapB-Colour
13/07/2011,blue lizard,red wombat,MapB-Architecture,MapA-Colour
13/07/2011,green spider,yellow wombat,MapB-Colour,MapA-Architecture
22/11/2012,Gold White bellied Storm Petrel,Blue Common Tern,MapA-Colour,MapB-Architecture
16/11/2012,Gold Australian Little Bittern,Red Varied Triller,MapA-Architecture,MapB-Colour
16/11/2012,Red Varied Triller,Gold Australian Little Bittern,MapB-Architecture,MapA-Colour
22/11/2012,Blue Common Tern,Gold White bellied Storm Petrel,MapB-Colour,MapA-Architecture
25/11/2012,Green Rosy Starling,Green Eastern Tube Nosed Bat,MapA-Colour,MapB-Architecture
26/11/2012,Gold Antilopine Kangaroo,Gold Lesser Noddy,MapA-Architecture,MapB-Colour
12/10/2012,Gold-Desert Bandicoot,Green - Wheelweaving orbweaving spider,MapB-Architecture,MapA-Colour
22/10/2012,Blue Little Stint,Green Norfolk Island Ground - Dove,MapB-Colour,MapA-Architecture
14/08/2013,Gold Princess Parrot,Gold Southern Common Cuscus,MapA-Colour,MapB-Architecture
9/07/2013,Blue Jewel Spider,Red Snow Petrel,MapA-Architecture,MapB-Colour
4/07/2013,Blue Cascade funnelweb spider,Green Ginkgo-toothed beaked whale,MapB-Architecture,MapA-Colour
12/11/2012,Gold Mute-Swan,Red Slaty-backed Thornbill,MapB-Colour,MapA-Architecture
2/07/2013,Green Kangaroo Island Emu,Blue-Pictorella Mannikin,MapA-Colour,MapB-Architecture
2/11/2012,Blue Satin Flycatcher,Gold - Lesser Long-eared Bat,MapA-Architecture,MapB-Colour
13/11/2012,Green Wedge Tailed Eagle,Red Lumholtz's Tree Kangaroo,MapB-Architecture,MapA-Colour
20/08/2012,Gold - Chestnut-breasted Cuckoo,Gold-Green-Backed Gerygone,MapB-Colour,MapA-Architecture
13/07/2012,Green - Common Sheath-tailed Bat,Blue - Black-faced Cuckoo-shrike,MapA-Colour,MapB-Architecture
9/05/2012,Gold-Leadbeater's Possum,Green-Spinner Dolphin,MapA-Architecture,MapB-Colour
20/06/2012,Blue-Large-billed Scrubwren,Red-Spotted Harrier,MapB-Architecture,MapA-Colour
22/08/2012,Green  Lemon-bellied Flycatcher,Green Papuan Sheath Tailed Bat,MapB-Colour,MapA-Architecture
11/08/2012,Red-Ringed Plover,Gold-Blue Whale,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
