Date,Speaker 1,Speaker 2,Session 3.1,Session 3.2
12/07/11,black snake ,yellow tail ,MapA-Colour,MapB-Architecture
12/07/11,green wombat,red spider,MapA-Architecture,MapB-Colour
13/07/11,blue lizard,red wombat,MapB-Architecture,MapA-Colour
13/07/11,green spider,yellow wombat,MapB-Colour,MapA-Architecture
5/10/11,Blue - Common Noddy,Gold - Yellow-lipped bat,MapA-Colour,MapB-Architecture
6/10/11,Blue - St Andrew's cross spider,Blue - Western Archaeid spider,MapA-Architecture,MapB-Colour
6/10/11,Gold - Pygmy Long-eared bat,Gold - Paradise riflebird,MapB-Architecture,MapA-Colour
7/10/11,Green - Magnificent Spider,Green - Black-bellied storm petrel,MapB-Colour,MapA-Architecture
7/10/11,Red - Cattle Egret,Gold- Gilbert's Potoroo,MapA-Colour,MapB-Architecture
8/10/11,Red - Kentish Plover,Red - Sooty Oystercatcher,MapA-Architecture,MapB-Colour
8/10/11,Blue - Spectacled Porpoise,Blue - Boullanger Island Dunnart,MapB-Architecture,MapA-Colour
9/10/11,Red - Black Kite,Green - Square-tailed Kite,MapB-Colour,MapA-Architecture
9/10/11,Red - Giant White-tailed Rat,Red - Wild turkey,MapA-Colour,MapB-Architecture
12/10/11,Red - Great Bowerbird,Red - Gilbert's Dunnart,MapA-Architecture,MapB-Colour
26/10/11,Blue - Striped Honeyeater,Red - Herbert's Rock wallaby,MapB-Architecture,MapA-Colour
27/10/11,Blue - Nurina Cave Spider,Red - Buff-rumped Thornbill,MapB-Colour,MapA-Architecture
3/11/11,Blue - Little Broad Nosed Bat,Red - Buller's Albatross,MapA-Colour,MapB-Architecture
3/11/11,Green - Lesser Hairy-footed Dunnart,Gold - Giant water spider,MapA-Architecture,MapB-Colour
3-Nov,Green- Blue Whale,Green - Hairy Footed Dunnart,MapB-Architecture,MapA-Colour
4/11/11,Gold - Northern Rosella,Red - Malayan Night Heron,MapB-Colour,MapA-Architecture
4/11/11,Gold - Blue winged kookaburra,Gold - White breasted whistler,MapA-Colour,MapB-Architecture
6/11/11,Gold - Avondale Spider,Green - Tawny breasted Honeyeater,MapA-Architecture,MapB-Colour
6/11/11,Gold - Tasmanian Devil,Blue - Black-billed Magpie,MapB-Architecture,MapA-Colour
10/11/11,Blue - Emu,Green - Hill's Sheath-tailed bat,MapB-Colour,MapA-Architecture
11/11/11,Blue - Toolache Wallaby,Green - Bar breasted Honeyeater,MapA-Colour,MapB-Architecture
12/11/11,Gold - Hardhead,Green - Southern Brown Bandicoot,MapA-Architecture,MapB-Colour
16/11/11,Green - Southern Fulmar,Blue - Horsfield's Bronze Cuckoo,MapB-Architecture,MapA-Colour
24/11/11,Red - Hector's beaked whale,Red - Yellow Oriole,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
