Date,Speaker 1,Speaker 2,Session 3.1,Session 3.2
12/07/11,black snake ,yellow tail ,MapA-Colour,MapB-Architecture
12/07/11,green wombat,red spider,MapA-Architecture,MapB-Colour
13/07/11,blue lizard,red wombat,MapB-Architecture,MapA-Colour
13/07/11,green spider,yellow wombat,MapB-Colour,MapA-Architecture
18/02/12,Blue-Black-tailed Gull,Red-Grey-fronted Honeyeater,MapA-Colour,MapB-Architecture
20/02/12,Gold - Frilled Monarch,Red - Blue-and-white Flycatcher,MapA-Architecture,MapB-Colour
23/02/12,Green - Godman's Rock-wallaby,Green - Little Wattlebird,MapB-Architecture,MapA-Colour
23/02/12,Gold - Garganey,Blue - Painted Finch,MapB-Colour,MapA-Architecture
24/02/12,Blue-Kerguelen Shag,Blue - Western Corella,MapA-Colour,MapB-Architecture
28/02/12,Red - Spotted Catbird,Gold Western Corella,MapA-Architecture,MapB-Colour
29/02/12,Red - Flat Huntsman spider,Gold Brown Skua,MapB-Architecture,MapA-Colour
1/03/12,Blue - Little Corella,Gold - Budgerigar,MapB-Colour,MapA-Architecture
6-Mar,Green - Sabine's Gull,Green - Superb Lyrebird,MapA-Colour,MapB-Architecture
7/03/12,Gold - Chinstrap Penguin,Blue-Swift spider,MapA-Architecture,MapB-Colour
14/03/12,Green - Tailed forest spider,Green - Grey Whistler,MapB-Architecture,MapA-Colour
15/03/12,Gold - Black wishbone spider,Red - Superb Parrot,MapB-Colour,MapA-Architecture
16/03/12,Red - Chiming Wedgebill,Red - Western archaeid spider,MapA-Colour,MapB-Architecture
22/03/12,Green - Silver Dewdrop spider,Blue - Swinhoe's Snipe,MapA-Architecture,MapB-Colour
28/03/12,Blue - Fairy Pitta,Blue - South Island Pied Oystercatcher,MapB-Architecture,MapA-Colour
29/03/12,Blue - Little Corella,Gold - Budgerigar,MapB-Colour,MapA-Architecture
3/04/12,Gold - Norfolk Island Kaka,Red - Christmas Island Hawk-Owl,MapA-Colour,MapB-Architecture
4/04/12,Blue - Southern Emu-wren,Green - Greater long-eared bat,MapA-Architecture,MapB-Colour
5/04/12,Red - Western False Pipistrelle,Green - Eastern Cave Bat,MapB-Architecture,MapA-Colour
16/04/12,Blue - Black Honeyeater,Green - Eastern Reef Egret,MapB-Colour,MapA-Architecture
19/04/12,Blue - Metallic Starling,Blue - White Kneed spider,MapA-Colour,MapB-Architecture
24/04/12,Gold - Boullanger Island Dunnart,Blue - Central Long-eared Bat,MapA-Architecture,MapB-Colour
26/04/12,Blue - Yellow Wattlebird,Blue - Regent Bowerbird,MapB-Architecture,MapA-Colour
26/04/12,Green - Northern Blossom-bat,Green - White-breasted Woodswallow,MapB-Colour,MapA-Architecture
2/05/12,Blue-Sydney funnel-web spider,Blue-Dusky Moorhen,MapA-Colour,MapB-Architecture
3/05/12,Red - Adelie Penguin,Green - Daintree River Ringtail Possum,MapA-Architecture,MapB-Colour
4/05/12,Green - Diadem Leaf-nosed Bat,Gold - Yellow-breasted Boatbill,MapB-Architecture,MapA-Colour
8/05/12,Red - Spotted Quail-thrush,Red - Kimberley Mouse,MapB-Colour,MapA-Architecture
8/05/12,Red - Asian Koel,Red - Southern Right Whale,MapA-Colour,MapB-Architecture
9/05/12,Red - Black-winged Monarch,Blue - Lesser Noddy,MapA-Architecture,MapB-Colour
12/05/12,Gold - Tent spider,Green - Tasmanian Scrubwren,MapB-Architecture,MapA-Colour
14/05/12,Blue - Norfolk Island Gerygone,Gold - Grey-crowned Babbler,MapB-Colour,MapA-Architecture
17/05/12,Red - Western Wattlebird,Red - White-cheeked Honeyeater,MapA-Colour,MapB-Architecture
21/05/12,Red - Grey Goshawk,Red - Magnificent spider,MapA-Architecture,MapB-Colour
22/05/12,Blue - Large-eared Pied Bat,Red - Kelp Gull,MapB-Architecture,MapA-Colour
23/05/12,Green - Australian White Ibis,Blue - Spinifexbird,MapB-Colour,MapA-Architecture
23/05/12,Gold - Lewin's Honeyeater,Gold - Short-tailed Grasswren,MapA-Colour,MapB-Architecture
24/05/12,Green - Mountain Thornbill,Green - Arctic Tern,MapA-Architecture,MapB-Colour
24/05/12,Gold - Musky Rat-kangaroo,Green - Squirrel Glider,MapB-Architecture,MapA-Colour
25/05/12,Gold - Fat-tailed Dunnart,Green - Black-shouldered Kite,MapB-Colour,MapA-Architecture
28/05/12,Green - Flock Bronzewing,Green Peregrine Falcon,MapA-Colour,MapB-Architecture
29/05/12,Blue - Common Greenshank,Blue - Black Petrel,MapA-Architecture,MapB-Colour
29/05/12,Blue - White-faced Robin,Red - Caspian Plover,MapB-Architecture,MapA-Colour
4/06/12,Blue - House Crow,Green - Bronze Aussie jumper,MapB-Colour,MapA-Architecture
4/06/12,Red - Wonga Pigeon,Red - Northern Cave Bat,MapA-Colour,MapB-Architecture
5/06/12,Green - Feathertail Glider,Gold - Little Curlew,MapA-Architecture,MapB-Colour
5/06/12,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
,,,MapA-Colour,MapB-Architecture
,,,MapA-Architecture,MapB-Colour
,,,MapB-Architecture,MapA-Colour
,,,MapB-Colour,MapA-Architecture
